method,FEM,FEM,PINNs,PINNs,Corr,Corr
n_vert,20,40,20,40,20,40
h,0.07,0.04,0.07,0.04,0.07,0.04
"0 : 0.51,0.51",0.0001005820166351,5.109265675825762e-06,0.0189435911760822,0.0189435875315105,0.5577870197363415,0.5577869807476219
"1 : 0.54,0.49",0.0003406038498053,2.012312153544368e-05,0.0406629289731188,0.0406629682222167,0.5577859039942824,0.5577869652034353
"2 : 0.52,0.6",7.455786245279281e-05,3.85014154860266e-06,0.023582814033577,0.0235828136191728,0.5577858297122185,0.5577869638320355
"3 : 0.51,0.42",2.2855542242384824e-05,1.3331137168930656e-06,0.0145623862042788,0.0145623874729134,0.557785886386982,0.5577869648945472
"4 : 0.48,0.44",0.0012746778264934,6.045204197173206e-05,0.0541867373672671,0.0541867623581429,0.5577860509830009,0.557786966394267
"5 : 0.53,0.43",7.25883344921556e-05,4.636027717346864e-06,0.0097649052827196,0.0097649110564615,0.5577859806423789,0.5577869665071897
"6 : 0.49,0.53",6.687220278575027e-05,4.026642948002678e-06,0.010737788163635,0.0107377871953504,0.5577860580592766,0.5577869670493822
"7 : 0.58,0.45",8.278661428389944e-05,4.470847090172768e-06,0.0161423153203727,0.0161423183775508,0.5577860854700138,0.5577869680421296
"8 : 0.59,0.49",0.0006523899799676,3.8115566096369424e-05,0.0425572217986344,0.0425572253155967,0.5577857721894893,0.55778696311194
"9 : 0.48,0.45",6.881481985980327e-05,3.5469526259786704e-06,0.0387522318579219,0.0387522304860451,0.5577865546603953,0.5577869740075415
"10 : 0.56,0.43",0.0001379698010024,7.558714132794913e-06,0.0251718716756742,0.0251718620671708,0.5577860316024734,0.557786966872144
"11 : 0.51,0.42",3.571558684073775e-05,1.939533600746616e-06,0.0138136686026378,0.0138136683196631,0.5577859374374112,0.5577869654519529
"12 : 0.51,0.53",4.577294372927255e-05,2.6572820620440507e-06,0.010518893606586,0.0105188900669914,0.5577860508872469,0.5577869668178242
"13 : 0.59,0.43",0.0002778606709983,1.7059377369756636e-05,0.0509686108300663,0.0509685814755178,0.5577858903189534,0.5577869650635858
"14 : 0.41,0.44",4.510990665901571e-05,6.775615383739975e-06,0.038242093533976,0.0382421065659988,0.557785569482462,0.5577869608627355
"15 : 0.42,0.47",0.0001697457281444,9.997821707839364e-06,0.0170815294808886,0.0170815341507655,0.5577856956405529,0.5577869622144328
"16 : 0.4,0.56",0.0001947990545324,8.863461942407027e-06,0.1608448152918961,0.1608448231351437,0.5577880070407037,0.5577869938536747
"17 : 0.57,0.42",9.904645844553766e-05,5.2402179408928825e-06,0.0192947184293792,0.0192947296996943,0.5577862794816848,0.5577869704193983
"18 : 0.56,0.57",2.560527880717649e-05,1.6337627115992426e-06,0.0111184902032985,0.0111184929075523,0.5577858317653145,0.5577869644687826
"19 : 0.57,0.42",9.128699131028088e-05,4.709687685738992e-06,0.0175751433357444,0.0175751534228391,0.5577867776581329,0.5577869769444997
"20 : 0.6,0.6",4.680611289403218e-05,2.5326942661554145e-06,0.0196856340608507,0.0196856438499501,0.5577855926208888,0.5577869609655947
"21 : 0.56,0.49",0.0004102976620489,1.690320442576206e-05,0.0346740143083185,0.0346740070269665,0.5577871286006284,0.5577869820288607
"22 : 0.49,0.6",3.469889274566595e-05,1.8574077596821888e-06,0.0144666458147167,0.014466644046242,0.557786259244691,0.5577869700260851
"23 : 0.56,0.52",0.0004089926231106,1.5738450207843347e-05,0.124643158477167,0.1246431547065963,0.5577870701280802,0.5577869806789838
"24 : 0.42,0.55",0.0001481776528191,8.349701747381781e-06,0.014968448412348,0.0149684624741928,0.5577859682887324,0.5577869662158228
"25 : 0.53,0.41",0.0001162607027252,6.00719014576498e-06,0.0143695417875231,0.0143695415946916,0.5577861828402607,0.5577869689146756
"26 : 0.43,0.46",0.0059571686013942,0.0004644718585148,0.1959320741281966,0.1959319135606792,0.5577857337470528,0.5577869623623868
"27 : 0.59,0.42",0.0002654869031608,1.6415846396016118e-05,0.0501404287834419,0.0501403991715875,0.5577858768995946,0.5577869647400596
"28 : 0.5,0.46",5.480699517208663e-05,3.1322840590382075e-06,0.0087041303513915,0.0087041287840972,0.5577860478852521,0.55778696734159
"29 : 0.48,0.42",0.0030282283335786,0.0001004875849599,0.1357769221663449,0.1357769384711437,0.5577858136820742,0.5577869617288121
"30 : 0.45,0.46",0.0001326641863995,6.705000515094527e-06,0.0139857703916904,0.0139857709993809,0.557785972544214,0.5577869662948736
"31 : 0.55,0.48",0.0001547764861605,8.404604653710364e-06,0.0205778939844374,0.0205778954758517,0.5577860267615503,0.557786966955466
"32 : 0.49,0.41",0.0014181686115392,8.113453949183178e-05,0.132163038502604,0.1321630578272434,0.5577857538786419,0.5577869629791338
"33 : 0.51,0.54",0.0005420848274987,2.7092383647755387e-05,0.0329461950784444,0.0329462016518128,0.557786108613442,0.5577869678747537
"34 : 0.4,0.51",7.578338207173193e-05,5.829942652882098e-06,0.0235728335130628,0.0235728380603198,0.557785816439136,0.5577869637209056
"35 : 0.52,0.45",7.51802271399703e-05,4.087588030964605e-06,0.0099060821230915,0.0099060731658198,0.5577861182984021,0.55778696825715
"36 : 0.52,0.5",8.311153774540117e-05,4.475299789507102e-06,0.0129426413451229,0.0129426308535615,0.5577861765140768,0.5577869689100456
"37 : 0.52,0.42",6.116181119438637e-05,3.3276916718033035e-06,0.0098987620682149,0.0098987590857476,0.5577859829552343,0.557786966009683
"38 : 0.59,0.52",5.3976214045912464e-05,3.0585354101700206e-06,0.0123964210022028,0.0123964205729348,0.557785825158956,0.5577869639646161
"39 : 0.54,0.59",0.000202644812128,1.051961845430908e-05,0.0264043970096623,0.0264044010240771,0.5577856381913483,0.557786961491218
"40 : 0.47,0.46",3.2253642625594344e-05,1.7502875586458863e-06,0.0166483386736349,0.0166483385771222,0.5577860090100156,0.5577869667288077
"41 : 0.49,0.53",0.0003741550570478,1.8543195469546567e-05,0.0262435791968078,0.0262435799577708,0.5577864754914258,0.557786973141519
"42 : 0.54,0.43",0.0002812843664646,1.3911755764860588e-05,0.0155037776213906,0.0155037788090282,0.5577865223668076,0.5577869737858369
"43 : 0.41,0.54",3.250740043273757e-05,4.529665505031961e-06,0.0342745062570385,0.0342745119359659,0.5577859105555729,0.5577869653638209
"44 : 0.53,0.46",3.3046839324103134e-05,2.1619423912581406e-06,0.0091815220713722,0.0091815232778094,0.5577860655159032,0.5577869672910285
"45 : 0.53,0.44",5.384279598512202e-05,2.906334121818996e-06,0.0135397141953755,0.0135397099485806,0.5577861610731245,0.5577869689957825
"46 : 0.44,0.52",0.0033970209244157,0.000191085646869,0.0742745068281892,0.0742745551254423,0.5577859910673062,0.5577869662741114
"47 : 0.43,0.4",4.160740527467645e-05,2.235329768943795e-06,0.0278379809696226,0.0278379916911832,0.5577850129930755,0.5577869530355316
"48 : 0.46,0.57",0.0001501705216512,7.155128971161959e-06,0.0388203762122882,0.0388203778292107,0.5577877366845696,0.5577869904085505
"49 : 0.47,0.4",2.475216984125468e-05,1.3552865766391086e-06,0.0244985303193484,0.0244985349773666,0.5577855531851633,0.5577869603505056
